iter	Passed	Remaining
0	0	29
1	0	27
2	0	28
3	1	26
4	1	25
5	1	28
6	2	27
7	2	27
8	2	27
9	3	27
10	3	27
11	3	27
12	4	27
13	4	26
14	4	26
15	4	26
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	7	24
22	7	24
23	7	24
24	7	23
25	9	25
26	9	25
27	9	24
28	9	24
29	10	23
30	10	23
31	10	23
32	11	23
33	11	22
34	11	22
35	12	21
36	12	21
37	12	21
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	18
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	14
58	20	14
59	20	13
60	20	13
61	21	12
62	21	12
63	21	12
64	22	11
65	22	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	9
74	25	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	29	4
86	29	4
87	30	4
88	30	3
89	30	3
90	31	3
91	31	2
92	31	2
93	32	2
94	32	1
95	32	1
96	33	1
97	34	0
98	34	0
99	34	0
