iter	Passed	Remaining
0	62	62650
1	63	31515
2	63	21175
3	64	15987
4	64	12858
5	65	10794
6	65	9310
7	66	8197
8	66	7330
9	67	6633
10	67	6060
11	67	5580
12	68	5169
13	68	4816
14	68	4513
15	69	4250
16	69	4028
17	70	3822
18	70	3639
19	70	3472
20	71	3319
21	71	3178
22	71	3050
23	72	2935
24	72	2834
25	73	2740
26	73	2648
27	74	2568
28	74	2496
29	74	2423
30	75	2356
31	75	2292
32	76	2245
33	76	2185
34	77	2135
35	77	2086
36	78	2039
37	78	1993
38	79	1950
39	79	1911
40	80	1872
41	80	1834
42	81	1803
43	81	1768
44	81	1736
45	82	1708
46	82	1677
47	83	1649
48	83	1620
49	83	1593
50	84	1566
51	84	1541
52	84	1516
53	85	1492
54	85	1469
55	85	1448
56	86	1429
57	86	1408
58	87	1387
59	87	1368
60	87	1352
61	88	1337
62	88	1322
63	89	1307
64	89	1292
65	90	1279
66	90	1265
67	91	1250
68	91	1237
69	92	1223
70	92	1209
71	92	1197
72	93	1187
73	93	1173
74	94	1161
75	94	1148
76	95	1139
77	95	1128
78	95	1118
79	96	1107
80	96	1096
81	97	1087
82	97	1075
83	97	1065
84	98	1055
85	98	1046
86	98	1036
87	99	1026
88	99	1016
89	99	1007
90	99	998
91	100	989
92	100	979
93	100	971
94	101	962
95	101	956
96	102	950
97	102	942
98	102	935
99	103	928
100	103	921
101	103	914
102	104	908
103	104	902
104	105	901
105	106	894
106	106	888
107	106	881
108	106	874
109	107	868
110	107	862
111	108	857
112	108	852
113	108	847
114	109	841
115	109	835
116	110	830
117	110	825
118	110	819
119	110	813
120	111	809
121	111	803
122	112	799
123	112	794
124	112	789
125	113	785
126	113	779
127	113	775
128	114	771
129	114	767
130	114	762
131	115	758
132	115	754
133	116	751
134	116	746
135	117	744
136	117	740
137	118	737
138	118	734
139	118	730
140	119	727
141	119	723
142	120	719
143	120	716
144	121	713
145	121	710
146	121	706
147	122	702
148	122	699
149	122	695
150	123	692
151	123	689
152	123	686
153	124	682
154	124	678
155	124	675
156	125	672
157	125	668
158	125	665
159	126	661
160	126	657
161	126	655
162	127	656
163	128	653
164	128	650
165	128	647
166	129	644
167	129	641
168	129	639
169	130	636
170	130	633
171	131	630
172	131	628
173	131	626
174	132	623
175	132	622
176	133	619
177	133	617
178	133	614
179	134	611
180	134	608
181	134	606
182	135	604
183	135	601
184	135	598
185	136	597
186	136	594
187	137	592
188	137	589
189	137	587
190	138	584
191	138	582
192	138	579
193	138	577
194	139	575
195	139	572
196	140	570
197	140	569
198	141	567
199	141	565
200	141	563
201	142	561
202	142	559
203	142	557
204	143	555
205	143	553
206	144	552
207	144	550
208	145	548
209	145	547
210	145	544
211	146	543
212	146	541
213	146	539
214	147	537
215	147	535
216	148	534
217	148	532
218	148	531
219	149	529
220	149	527
221	149	525
222	150	523
223	150	522
224	151	520
225	151	518
226	151	517
227	152	515
228	152	513
229	152	511
230	153	510
231	153	509
232	154	507
233	154	506
234	155	505
235	155	503
236	156	502
237	156	501
238	157	499
239	157	498
240	157	497
241	158	496
242	158	494
243	159	492
244	159	491
245	159	489
246	160	488
247	160	486
248	160	484
249	161	483
250	161	482
251	161	480
252	162	478
253	162	477
254	162	475
255	163	474
256	163	472
257	163	471
258	164	469
259	164	468
260	164	466
261	165	465
262	165	463
263	165	462
264	166	460
265	166	459
266	166	457
267	167	456
268	167	455
269	167	453
270	168	452
271	168	450
272	168	449
273	169	447
274	169	446
275	169	445
276	170	443
277	170	442
278	170	441
279	171	439
280	171	438
281	171	437
282	172	436
283	172	434
284	172	433
285	173	432
286	173	430
287	173	429
288	174	428
289	174	426
290	174	425
291	174	424
292	175	423
293	175	421
294	176	420
295	176	419
296	176	418
297	177	417
298	177	415
299	177	414
300	178	413
301	178	412
302	178	411
303	179	409
304	179	408
305	179	407
306	180	406
307	180	405
308	180	403
309	180	402
310	181	401
311	181	400
312	181	399
313	182	398
314	182	397
315	182	395
316	183	394
317	183	393
318	183	392
319	184	391
320	184	390
321	184	389
322	185	388
323	185	387
324	186	386
325	186	385
326	186	384
327	187	383
328	187	382
329	187	381
330	188	380
331	188	379
332	188	378
333	189	377
334	189	376
335	189	375
336	190	373
337	190	372
338	190	371
339	190	370
340	191	369
341	191	368
342	191	367
343	192	366
344	192	365
345	192	364
346	193	363
347	193	362
348	193	361
349	194	360
350	194	359
351	194	358
352	195	357
353	195	356
354	195	355
355	196	354
356	196	354
357	196	352
358	197	352
359	197	351
360	197	350
361	198	349
362	198	348
363	198	347
364	199	346
365	199	345
366	199	344
367	200	343
368	200	342
369	200	341
370	200	340
371	201	339
372	201	339
373	202	338
374	202	337
375	202	336
376	203	335
377	203	334
378	203	333
379	203	332
380	204	331
381	204	330
382	204	330
383	205	329
384	205	328
385	205	327
